Datetime,Type,Lon,Lat
time,Family\ Abuse Gambling Homicide Liquor\ Law\ Violations Prostitution Public\ Drunkenness,continuous,continuous
,,,
04/05/2006 19:57,Liquor Law Violations,-75.168078,39.906642
17/09/2012 19:55,Public Drunkenness,-75.169938,39.925484
28/05/2008 21:34,Liquor Law Violations,-75.028987,40.048701
19/12/2014 22:17,Prostitution,-75.236865,39.923728
21/07/2008 01:28,Liquor Law Violations,-75.145053,39.960903
17/06/2010 12:31,Public Drunkenness,-75.162104,39.948884
19/05/2007 23:29,Prostitution,-75.158525,39.921663
20/05/2016 21:47,Prostitution,-75.060651,40.016997
10/01/2006 01:28,Prostitution,-75.107603,39.999606
24/06/2016 22:25,Prostitution,-75.163231,39.949048
27/12/2011 23:10,Prostitution,-75.106447,40.000383
13/02/2009 23:06,Prostitution,-75.120326,39.992726
30/04/2013 21:47,Prostitution,-75.104232,40.001497
06/03/2013 12:34,Prostitution,-75.115786,39.995225
28/03/2009 18:41,Liquor Law Violations,-75.034137,40.057302
04/04/2006 01:17,Gambling,-75.175616,39.927671
08/01/2014 22:19,Prostitution,-75.051546,40.050521
18/01/2013 11:34,Prostitution,-75.07943,40.021454
28/01/2010 11:58,Prostitution,-75.245832,39.967282
14/06/2008 22:38,Prostitution,-75.108741,39.999085
02/11/2006 14:37,Public Drunkenness,-75.182712,39.942031
30/10/2009 12:51,Prostitution,-75.097675,40.003754
07/12/2010 17:55,Family Abuse,-74.959318,40.086884
18/09/2010 03:18,Liquor Law Violations,-75.137216,39.960244
21/05/2015 09:32,Prostitution,-75.134975,39.973115
20/07/2015 20:44,Liquor Law Violations,-75.168078,39.906642
14/06/2012 22:53,Prostitution,-75.238758,39.922409
24/09/2011 00:41,Liquor Law Violations,-75.160204,39.983601
08/03/2008 02:39,Liquor Law Violations,-75.211113,40.026153
08/07/2011 10:28,Prostitution,-75.122562,39.99148
11/02/2015 11:10,Prostitution,-75.105046,40.000506
16/02/2006 01:03,Prostitution,-75.147655,40.008819
02/09/2008 23:39,Prostitution,-75.147233,40.016583
12/12/2012 23:39,Prostitution,-75.129661,39.987493
06/04/2015 20:15,Liquor Law Violations,-75.078182,40.022416
29/11/2011 21:59,Prostitution,-75.120345,39.992646
02/04/2008 22:39,Prostitution,-75.155701,40.047429
10/08/2007 22:46,Prostitution,-75.171521,40.038876
09/08/2007 22:39,Liquor Law Violations,-75.129794,40.036304
03/10/2009 17:01,Liquor Law Violations,-75.168078,39.906642
30/09/2011 17:59,Family Abuse,-75.15354,39.942211
24/03/2016 21:55,Liquor Law Violations,-75.156609,39.959723
29/12/2014 00:45,Public Drunkenness,-75.197948,39.956667
01/03/2013 20:27,Liquor Law Violations,-75.110581,39.984188
15/11/2011 22:41,Prostitution,-75.223143,39.969712
17/01/2007 22:37,Prostitution,-75.092727,40.005276
