Latitude [°],Longitude [°],Was cleaned,Access type,Distance from the road [m],Location type,Waste area [m²],Waste volume [m³],Organic waste [%],Construction waste [%],Mixed/non-recyclable waste [%],Bulky waste [%],Tires [%],Motor vehicles [%],Hazardous/toxic waste [%],Asbestos panels [%],Barrels with hazardous/unknown liquid,Waste partially buried?,Importance assessment,IRSOP,Duty of Slovenia Forest Service,Entry creation date,Last modification date,Geopedia URL,ID,Name,Description/quantity of hazardous waste,Municipality,Land registry property ID
continuous,continuous,0 1,Inaccessible Off-road On\ foot Private\ car Unsafe\ access,continuous,Basin Plane Slope,continuous,continuous,0 1 2 3 4 5 6 8 9 10 14 15 16 18 19 20 25 27 30 33 34 35 37 38 40 43 44 45 47 48 49 50 53 54 55 58 59 60 62 65 66 67 68 70 73 74 75 78 79 80 83 84 85 88 90 92 93 94 95 96 97 98 99 100,continuous,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 23 25 29 30 33 34 35 38 40 43 45 48 49 50 53 55 59 60 61 62 65 68 69 70 73 75 77 80 83 84 85 89 90 93 94 95 98 99 100,0 1 2 3 4 5 6 7 8 9 10 11 12 15 17 18 19 20 22 23 24 25 29 30 33 34 35 38 39 40 44 45 49 50 54 55 59 60 63 65 66 67 69 70 71 72 74 75 77 78 79 80 82 84 85 89 90 92 93 94 95 96 98 99 100,0 1 2 3 4 5 7 10 11 15 20 25 30 40 50 60 65 70 75 80 90 95 100,0 1 5 10 15 20 25 30 35 40 50 60 70 75 80 85 90 95 98 99 100,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 17 18 19 20 23 25 30 33 35 37 40 45 49 50 55 57 60 65 67 69 70 75 80 85 90 93 94 95 99 100,0 1 2 3 4 5 6 8 10 12 15 20 23 25 30 33 35 40 50 55 60 67 70 75 80 85 90 95 98 99 100,0 1,0 1,continuous,Celje Koper Kranj Ljubljana Maribor Murska\ Sobota Nova\ Gorica Novo\ Mesto Novo\ mesto,0 1,time,time,string,continuous,string,string,string,string
,,,,,,,,,,,,,,,,,,,,,,,meta,meta,meta,meta,meta,meta
46.3763919358,15.6083561949,0,Private car,20.0,Slope,5.0,10.0,,30.0,10,10,,,50,,0,0,8.0,Maribor,0,2010-03-28,2011-03-15,http://www.geopedia.si/?params=T1199_L6357_F4,4.0,,"cca. 10 računalnikov in nekaj televizij, gume, plastika",Slovenska Bistrica,618-1004/3
45.6253566662,13.9592411957,1,Private car,100.0,Plane,100.0,500.0,60,40.0,,,,,,,0,0,14.0,Koper,0,2010-04-18,2015-10-09,http://www.geopedia.si/?params=T1199_L6357_F5,5.0,,"gradbeni material, zemeljski izkop, kovine, steklo, plastika",Hrpelje-Kozina,1415-2175/1
46.2585659105,15.2641873172,0,Private car,2.0,Plane,25.0,50.0,,80.0,20,,,,10,,0,0,13.0,Celje,0,2010-04-04,2011-04-05,http://www.geopedia.si/?params=T1199_L6357_F7,7.0,,,Celje,2171-416/4
45.9468914458,14.8848765822,0,Private car,2.0,Plane,10.0,10.0,,20.0,,50,,,30,,0,0,8.0,Ljubljana,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F9,9.0,,"Gume; skrinja, tekstil",Ivančna Gorica,1836-1009
45.8986221279,13.8217970834,0,Off-road,500.0,Slope,10.0,10.0,,,,100,,,,,0,0,4.0,Nova Gorica,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F10,10.0,,"Odvržene stare avtomobiljske karoserije (4-5), ki jih imajo srne za svojeskrivališče.",Ajdovščina,1251-824
45.5304842259,13.7302239707,1,Private car,0.0,Plane,300.0,2.0,,,80,20,,,,,0,0,,Koper,0,2010-03-28,2011-03-31,http://www.geopedia.si/?params=T1199_L6357_F13,13.0,,,Koper,747-1835/4
45.8399498932,15.2752398348,0,Private car,400.0,Basin,400.0,1500.0,50,30.0,,20,,,,,0,0,48.0,Novo Mesto,0,2010-04-18,2011-03-10,http://www.geopedia.si/?params=T1199_L6357_F14,14.0,,,Šentjernej,1710-592
45.5450478573,13.7877664468,1,Private car,800.0,Plane,60.0,2.0,,100.0,,,,,,,0,1,1.0,Koper,0,2010-03-28,2016-08-12,http://www.geopedia.si/?params=T1199_L6357_F15,15.0,,"dostop je z avtom je možen do samega odlagališča po makadamski cesti. poleggradbenih odpadkov je tukaj še razbito steklo ostanki avtomobilskih odbijačev,...",Koper,637-6005/2
