FIOStevilkaZadeve,KlasifikacijaNesrece,UpravnaEnotaStoritve,DatumPN,UraPN,VNaselju,VrstaCeste,SifraOdsekaUlice,StacionazaDogodka,Lokacija,VzrokNesrece,TipNesrece,VremenskeOkoliscine,StanjePrometa,StanjeVozisca,VrstaVozisca,GeoKoordinata X,GeoKoordinata Y,SifraCesteNaselja,TekstCesteNaselja,TekstOdsekaUlice
continuous,BREZ\ POŠKODBE HUDA\ TELESNA\ POŠKODBA LAŽJA\ TELESNA\ POŠKODBA SMRT,AJDOVŠČINA BREŽICE CELJE CERKNICA DOMŽALE DRAVOGRAD GORNJA\ RADGONA GROSUPLJE HRASTNIK IDRIJA ILIRSKA\ BISTRICA IZOLA JESENICE KAMNIK KOPER KOČEVJE KRANJ KRŠKO LAŠKO LENART LENDAVA LITIJA LJUBLJANA LJUTOMER LOGATEC MARIBOR METLIKA MOZIRJE MURSKA\ SOBOTA NOVA\ GORICA NOVO\ MESTO ORMOŽ PESNICA PIRAN POSTOJNA PTUJ RADLJE\ OB\ DRAVI RADOVLJICA RAVNE\ NA\ KOROŠKEM RIBNICA RUŠE SEVNICA SEŽANA SLOVENJ\ GRADEC SLOVENSKA\ BISTRICA SLOVENSKE\ KONJICE TOLMIN TRBOVLJE TREBNJE TRŽIČ VELENJE VRHNIKA ZAGORJE\ OB\ SAVI ČRNOMELJ ŠENTJUR\ PRI\ CELJU ŠKOFJA\ LOKA ŠMARJE\ PRI\ JELŠAH ŽALEC,time,continuous,0 1,AVTOCESTA GLAVNA\ CESTA\ I.\ REDA GLAVNA\ CESTA\ II.\ REDA HITRA\ CESTA LOKALNA\ CESTA NASELJE\ BREZ\ ULIČNEGA\ SISTEMA NASELJE\ Z\ ULIČNIM\ SISTEMOM REGIONALNA\ CESTA\ I.\ REDA REGIONALNA\ CESTA\ II.\ REDA REGIONALNA\ CESTA\ III.\ REDA TURISTIČNA\ CESTA,continuous,continuous,CESTA NARAVNO\ OKOLJE,NEPRAVILNA\ STRAN\ /\ SMER\ VOŽNJE NEPRAVILNO\ PREHITEVANJE NEPRAVILNOSTI\ NA\ CESTI NEPRAVILNOSTI\ NA\ TOVORU NEPRAVILNOSTI\ NA\ VOZILU NEPRAVILNOSTI\ PEŠCA NEPRILAGOJENA\ HITROST NEUPOŠTEVANJE\ PRAVIL\ O\ PREDNOSTI NEUSTREZNA\ VARNOSTNA\ RAZDALJA OSTALO PREMIKI\ Z\ VOZILOM,BOČNO\ TRČENJE NALETNO\ TRČENJE OPLAŽENJE OSTALO POVOŽENJE\ PEŠCA POVOŽENJE\ ŽIVALI PREVRNITEV\ VOZILA TRČENJE\ V\ OBJEKT TRČENJE\ V\ STOJEČE\ /\ PARKIRANO\ VOZILO ČELNO\ TRČENJE,DEŽEVNO JASNO MEGLA NEZNANO OBLAČNO SNEG TOČA VETER,GOST NEZNANO NORMALEN REDEK ZASTOJI,BLATNO MOKRO OSTALO POLEDENELO\ -\ NEPOSIPANO POLEDENELO\ -\ POSIPANO SNEŽENO\ -\ NEPLUŽENO SNEŽENO\ -\ PLUŽENO SPOLZKO SUHO,HRAPAV\ \ ASFALT\ /\ BETON MAKADAM NERAVEN\ ASFALT\ /\ BETON OSTALO ZGLAJEN\ ASFALT\ /\ BETON,continuous,continuous,string,string,string
,,,,,,,,,,,,,,,,,,meta,meta,meta
832765.0,BREZ POŠKODBE,BREŽICE,2016-01-22,22.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,TRČENJE V OBJEKT,JASNO,NEZNANO,SUHO,HRAPAV  ASFALT / BETON,15.51990481205,45.884265841729004,02401,024010 CERKLJE-ČR- DRNOVO,NI ODSEKOV
835630.0,BREZ POŠKODBE,BREŽICE,2016-03-13,3.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,TRČENJE V OBJEKT,OBLAČNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,15.51990481205,45.884265841729004,02401,024010 CERKLJE-ČR- DRNOVO,NI ODSEKOV
852774.0,LAŽJA TELESNA POŠKODBA,BREŽICE,2016-11-19,10.0,0,LOKALNA CESTA,0.0,1140.0,CESTA,NEPRAVILNO PREHITEVANJE,PREVRNITEV VOZILA,OBLAČNO,REDEK,MOKRO,HRAPAV  ASFALT / BETON,15.558245776996,45.898202040682,02407,024031KRŠKA VAS - D SKOP,NI ODSEKOV
849208.0,LAŽJA TELESNA POŠKODBA,BREŽICE,2016-09-30,17.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNO PREHITEVANJE,OPLAŽENJE,JASNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,02500,024063 BORŠT - GOR. PIR,NI ODSEKOV
831239.0,BREZ POŠKODBE,BREŽICE,2016-01-03,11.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,TRČENJE V OBJEKT,SNEG,REDEK,SNEŽENO - PLUŽENO,HRAPAV  ASFALT / BETON,,,02533,024220 DOBOVA-DOBOVA,NI ODSEKOV
843187.0,HUDA TELESNA POŠKODBA,BREŽICE,2016-07-04,11.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,ČELNO TRČENJE,JASNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,15.676488771852,45.930205520858,02541,024270 KAPELE-DOBOVA,NI ODSEKOV
831672.0,BREZ POŠKODBE,BREŽICE,2016-01-06,17.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNOSTI PEŠCA,NALETNO TRČENJE,SNEG,REDEK,SNEŽENO - NEPLUŽENO,ZGLAJEN ASFALT / BETON,,,02546,024290 SELA-DOBOVA,NI ODSEKOV
848376.0,LAŽJA TELESNA POŠKODBA,BREŽICE,2016-09-18,6.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRILAGOJENA HITROST,PREVRNITEV VOZILA,OBLAČNO,REDEK,MOKRO,ZGLAJEN ASFALT / BETON,15.569702494203,45.948416379011,02574,024430 ZG.POH.-GRAD PODSR,NI ODSEKOV
