@RELATION 2d-10c
%
@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE CLASS {0,1,2,3,4,5,6,7,8,9}
%
@DATA
1.00007,40.9378,0
0.99736,41.1714,0
0.134799,41.8113,0
2.47585,41.6346,0
-3.0587,41.3887,0
0.73266,41.4888,0
0.35745,41.8429,0
52.4266,3.27257,1
47.2102,3.07995,1
51.7235,3.18778,1
48.3572,3.40303,1
50.4224,3.43891,1
48.8457,3.17306,1
52.3564,3.11401,1
47.8073,3.37175,1
45.2018,3.14158,1
42.0126,3.31301,1
47.1974,3.31478,1
44.5805,3.09813,1
47.9305,3.36138,1
46.6296,3.05323,1
51.7158,3.24734,1
48.241,3.1586,1
43.1457,3.10903,1
53.5328,3.23527,1
51.2686,3.05155,1
52.6787,3.26477,1
47.3229,3.25546,1
50.6885,2.86228,1
56.2172,3.26755,1
52.5805,3.00891,1
41.348,3.07628,1
44.471,3.22271,1
45.5043,3.17306,1
52.9761,3.46274,1
48.554,2.92317,1
51.0304,3.05824,1
55.3886,3.30659,1
43.4255,3.25965,1
51.9739,3.21241,1
55.4508,3.21214,1
48.8366,3.10592,1
49.6574,3.43084,1
48.2048,3.10344,1
48.3355,3.2727,1
51.1717,2.86299,1
48.2203,3.30793,1
45.1759,3.38008,1
52.557,3.41086,1
50.9924,2.98479,1
49.8621,3.36127,1
49.4336,3.19372,1
48.7223,3.22935,1
46.0376,3.53939,1
51.1494,3.09522,1
51.5877,3.53584,1
54.3164,3.11213,1
55.9106,3.02007,1
51.3509,3.13694,1
43.6607,3.15844,1
50.3681,3.26108,1
51.4464,3.2879,1
45.2989,3.0688,1
41.2781,3.04708,1
48.9077,3.32952,1
51.8702,3.37652,1
45.7139,2.99215,1
46.0954,3.25909,1
47.809,3.31064,1
49.129,3.37745,1
46.5891,3.21292,1
45.8006,3.28586,1
49.1638,3.41501,1
51.1161,3.20525,1
46.8335,3.27148,1
49.3144,3.14129,1
47.488,3.1997,1
46.7548,3.04395,1
52.4264,3.1654,1
40.174,3.10943,1
49.4648,3.22927,1
51.5877,3.06211,1
45.8653,3.36263,1
44.6298,3.20112,1
44.3965,3.39205,1
47.911,3.30222,1
49.4857,3.23339,1
56.1655,3.05991,1
53.602,3.25718,1
56.3524,3.02202,1
50.1797,3.27069,1
47.9044,3.09403,1
45.6034,3.06824,1
48.638,3.33807,1
45.1189,3.48732,1
52.2518,3.45751,1
55.5827,3.25323,1
49.7789,2.9981,1
45.8278,2.93058,1
59.3848,3.20105,1
56.9081,3.28189,1
50.2923,3.11007,1
49.6901,3.33219,1
50.4372,3.33817,1
46.6901,2.90752,1
43.0592,3.07746,1
53.0521,3.31728,1
51.6457,2.91166,1
56.4155,3.16169,1
48.1242,3.06898,1
51.1564,3.138,1
45.9108,3.00238,1
41.8679,3.41625,1
45.2634,3.32542,1
48.371,3.04901,1
51.7331,3.12092,1
55.2505,2.87529,1
50.4898,3.26063,1
45.7229,3.02482,1
53.2487,3.12843,1
40.7495,3.11301,1
54.4269,3.0139,1
49.8631,3.20293,1
51.3726,3.2277,1
45.2361,3.07773,1
48.4523,3.07081,1
46.287,3.13189,1
50.3515,3.27347,1
44.9904,3.26817,1
42.4476,3.27972,1
47.3749,3.03735,1
53.4555,3.31727,1
48.4153,3.1094,1
53.7926,3.04449,1
54.0196,3.39215,1
50.2666,3.36189,1
52.443,3.01037,1
48.3527,3.33365,1
48.1739,3.45715,1
47.1748,3.10138,1
51.9233,3.25977,1
43.4883,3.18882,1
54.9576,3.1186,1
48.4501,3.26485,1
54.5546,3.1002,1
46.7135,3.17809,1
49.1796,3.06229,1
